index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens,history_before,history_after
1,2026-09-22T12:07:01.340400+08:00,0,0.56,0.44,0.13,jev-1.13.0,977.85,326,31,01010,010100
2,2026-09-22T12:07:02.318698+08:00,0,0.56,0.44,0.12,jev-1.13.0,372.94,328,31,010100,0101000
3,2026-09-22T12:07:02.693351+08:00,0,0.55,0.45,0.11,jev-1.13.0,395.1,330,31,0101000,01010000
4,2026-09-22T12:07:03.088685+08:00,0,0.57,0.43,0.13,jev-1.13.0,397.8,332,31,01010000,010100000
5,2026-09-22T12:07:03.486786+08:00,0,0.58,0.42,0.16,jev-1.13.0,492.05,334,31,010100000,0101000000
6,2026-09-22T12:07:03.979075+08:00,0,0.59,0.41,0.18,jev-1.13.0,401.43,336,31,0101000000,01010000000
7,2026-09-22T12:07:04.380788+08:00,0,0.62,0.38,0.24,jev-1.13.0,401.82,338,31,01010000000,010100000000
8,2026-09-22T12:07:04.784319+08:00,0,0.62,0.38,0.23,jev-1.13.0,439.42,340,31,010100000000,0101000000000
9,2026-09-22T12:07:05.224043+08:00,0,0.63,0.37,0.25,jev-1.13.0,372.66,342,31,0101000000000,01010000000000
10,2026-09-22T12:07:05.596927+08:00,0,0.62,0.38,0.24,jev-1.13.0,386.92,344,31,01010000000000,010100000000000
11,2026-09-22T12:07:05.984115+08:00,0,0.61,0.39,0.22,jev-1.13.0,423.05,346,31,010100000000000,0101000000000000
12,2026-09-22T12:07:06.407383+08:00,0,0.6,0.4,0.2,jev-1.13.0,437.34,348,31,0101000000000000,01010000000000000
13,2026-09-22T12:07:06.845042+08:00,0,0.66,0.34,0.32,jev-1.13.0,403.94,350,31,01010000000000000,010100000000000000
14,2026-09-22T12:07:07.249256+08:00,0,0.65,0.35,0.3,jev-1.13.0,378.96,352,31,010100000000000000,0101000000000000000
15,2026-09-22T12:07:07.628471+08:00,0,0.62,0.38,0.24,jev-1.13.0,362.1,354,31,0101000000000000000,01010000000000000000
16,2026-09-22T12:07:07.990793+08:00,0,0.65,0.35,0.3,jev-1.13.0,412.78,356,31,01010000000000000000,010100000000000000000
17,2026-09-22T12:07:08.403825+08:00,0,0.64,0.36,0.27,jev-1.13.0,482.63,358,31,010100000000000000000,0101000000000000000000
18,2026-09-22T12:07:08.886730+08:00,0,0.62,0.38,0.24,jev-1.13.0,407.31,360,31,0101000000000000000000,01010000000000000000000
19,2026-09-22T12:07:09.294285+08:00,0,0.65,0.35,0.29,jev-1.13.0,384.82,362,31,01010000000000000000000,010100000000000000000000
20,2026-09-22T12:07:09.679333+08:00,0,0.64,0.36,0.27,jev-1.13.0,400.34,364,31,010100000000000000000000,0101000000000000000000000
21,2026-09-22T12:07:10.079952+08:00,0,0.64,0.36,0.27,jev-1.13.0,403.45,366,31,0101000000000000000000000,01010000000000000000000000
22,2026-09-22T12:07:10.483675+08:00,0,0.67,0.33,0.34,jev-1.13.0,418.34,368,31,01010000000000000000000000,010100000000000000000000000
23,2026-09-22T12:07:10.902233+08:00,0,0.64,0.36,0.28,jev-1.13.0,383.02,370,31,010100000000000000000000000,0101000000000000000000000000
24,2026-09-22T12:07:11.285572+08:00,0,0.64,0.36,0.29,jev-1.13.0,394.56,372,31,0101000000000000000000000000,01010000000000000000000000000
25,2026-09-22T12:07:11.680360+08:00,0,0.64,0.36,0.27,jev-1.13.0,398.44,374,31,01010000000000000000000000000,010100000000000000000000000000
26,2026-09-22T12:07:12.079072+08:00,0,0.68,0.32,0.36,jev-1.13.0,401.36,376,31,010100000000000000000000000000,0101000000000000000000000000000
27,2026-09-22T12:07:12.480735+08:00,0,0.69,0.31,0.39,jev-1.13.0,399.14,378,31,0101000000000000000000000000000,01010000000000000000000000000000
28,2026-09-22T12:07:12.880127+08:00,0,0.68,0.32,0.36,jev-1.13.0,699.3,380,31,01010000000000000000000000000000,010100000000000000000000000000000
29,2026-09-22T12:07:13.579696+08:00,0,0.66,0.34,0.32,jev-1.13.0,401.44,382,31,010100000000000000000000000000000,0101000000000000000000000000000000
30,2026-09-22T12:07:13.981403+08:00,0,0.67,0.33,0.34,jev-1.13.0,361.55,384,31,0101000000000000000000000000000000,01010000000000000000000000000000000
31,2026-09-22T12:07:14.343255+08:00,0,0.66,0.34,0.33,jev-1.13.0,369.88,386,31,01010000000000000000000000000000000,010100000000000000000000000000000000
32,2026-09-22T12:07:14.713391+08:00,0,0.65,0.35,0.31,jev-1.13.0,367.32,388,31,010100000000000000000000000000000000,0101000000000000000000000000000000000
33,2026-09-22T12:07:15.081007+08:00,0,0.68,0.32,0.36,jev-1.13.0,405.83,390,31,0101000000000000000000000000000000000,01010000000000000000000000000000000000
34,2026-09-22T12:07:15.487145+08:00,0,0.68,0.32,0.35,jev-1.13.0,393.38,392,31,01010000000000000000000000000000000000,010100000000000000000000000000000000000
35,2026-09-22T12:07:15.880790+08:00,0,0.66,0.34,0.32,jev-1.13.0,399.07,394,31,010100000000000000000000000000000000000,0101000000000000000000000000000000000000
36,2026-09-22T12:07:16.280094+08:00,0,0.68,0.32,0.35,jev-1.13.0,399.91,396,31,0101000000000000000000000000000000000000,01010000000000000000000000000000000000000
37,2026-09-22T12:07:16.680236+08:00,0,0.67,0.33,0.35,jev-1.13.0,399.54,398,31,01010000000000000000000000000000000000000,010100000000000000000000000000000000000000
38,2026-09-22T12:07:17.080049+08:00,0,0.62,0.38,0.25,jev-1.13.0,413.68,400,31,010100000000000000000000000000000000000000,0101000000000000000000000000000000000000000
39,2026-09-22T12:07:17.493958+08:00,0,0.65,0.35,0.31,jev-1.13.0,384.81,402,31,0101000000000000000000000000000000000000000,01010000000000000000000000000000000000000000
40,2026-09-22T12:07:17.879020+08:00,0,0.63,0.37,0.26,jev-1.13.0,440.82,404,31,01010000000000000000000000000000000000000000,010100000000000000000000000000000000000000000
41,2026-09-22T12:07:18.320206+08:00,0,0.68,0.32,0.35,jev-1.13.0,318.21,406,31,010100000000000000000000000000000000000000000,0101000000000000000000000000000000000000000000
42,2026-09-22T12:07:18.638665+08:00,0,0.61,0.39,0.21,jev-1.13.0,757.85,408,31,0101000000000000000000000000000000000000000000,01010000000000000000000000000000000000000000000
43,2026-09-22T12:07:19.396854+08:00,0,0.65,0.35,0.31,jev-1.13.0,481.33,410,31,01010000000000000000000000000000000000000000000,010100000000000000000000000000000000000000000000
44,2026-09-22T12:07:19.878471+08:00,0,0.64,0.36,0.28,jev-1.13.0,404.03,412,31,010100000000000000000000000000000000000000000000,0101000000000000000000000000000000000000000000000
45,2026-09-22T12:07:20.282801+08:00,0,0.64,0.36,0.29,jev-1.13.0,397.44,414,31,0101000000000000000000000000000000000000000000000,01010000000000000000000000000000000000000000000000
46,2026-09-22T12:07:20.680523+08:00,0,0.65,0.35,0.29,jev-1.13.0,399.17,416,31,01010000000000000000000000000000000000000000000000,010100000000000000000000000000000000000000000000000
47,2026-09-22T12:07:21.079939+08:00,0,0.65,0.35,0.3,jev-1.13.0,377.35,418,31,010100000000000000000000000000000000000000000000000,0101000000000000000000000000000000000000000000000000
48,2026-09-22T12:07:21.457610+08:00,0,0.63,0.37,0.27,jev-1.13.0,410.82,420,31,0101000000000000000000000000000000000000000000000000,01010000000000000000000000000000000000000000000000000
49,2026-09-22T12:07:21.868673+08:00,0,0.68,0.32,0.35,jev-1.13.0,366.9,422,31,01010000000000000000000000000000000000000000000000000,010100000000000000000000000000000000000000000000000000
50,2026-09-22T12:07:22.235810+08:00,0,0.69,0.31,0.38,jev-1.13.0,344.51,424,31,010100000000000000000000000000000000000000000000000000,0101000000000000000000000000000000000000000000000000000
51,2026-09-22T12:07:22.580621+08:00,0,0.69,0.31,0.39,jev-1.13.0,400.96,426,31,0101000000000000000000000000000000000000000000000000000,01010000000000000000000000000000000000000000000000000000
