combined_index,source_run,source_index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens
1,random-bits-20260922-094842-551239,1,2026-09-22T09:48:42.556803+08:00,0,0.69,0.31,0.38,jev-1.13.0,2059.66,310,31
2,random-bits-20260922-094842-551239,2,2026-09-22T09:48:44.617165+08:00,0,0.71,0.29,0.42,jev-1.13.0,342.44,310,31
3,random-bits-20260922-094842-551239,3,2026-09-22T09:48:44.959946+08:00,0,0.67,0.33,0.35,jev-1.13.0,369.48,310,31
4,random-bits-20260922-094842-551239,4,2026-09-22T09:48:45.331046+08:00,0,0.7,0.3,0.39,jev-1.13.0,628.66,310,31
5,random-bits-20260922-094842-551239,5,2026-09-22T09:48:45.960041+08:00,0,0.67,0.33,0.34,jev-1.13.0,361.27,310,31
6,random-bits-20260922-094842-551239,6,2026-09-22T09:48:46.321561+08:00,0,0.69,0.31,0.38,jev-1.13.0,642.27,310,31
7,random-bits-20260922-094842-551239,7,2026-09-22T09:48:46.964184+08:00,0,0.71,0.29,0.43,jev-1.13.0,334.39,310,31
8,random-bits-20260922-094842-551239,8,2026-09-22T09:48:47.298924+08:00,0,0.69,0.31,0.38,jev-1.13.0,365.07,310,31
9,random-bits-20260922-094842-551239,9,2026-09-22T09:48:47.664256+08:00,0,0.68,0.32,0.36,jev-1.13.0,352.42,310,31
10,random-bits-20260922-094842-551239,10,2026-09-22T09:48:48.018460+08:00,0,0.69,0.31,0.39,jev-1.13.0,343.43,310,31
11,random-bits-20260922-094842-551239,11,2026-09-22T09:48:48.362128+08:00,0,0.68,0.32,0.37,jev-1.13.0,349.31,310,31
12,random-bits-20260922-094842-551239,12,2026-09-22T09:48:48.711689+08:00,0,0.68,0.32,0.37,jev-1.13.0,363.68,310,31
13,random-bits-20260922-094842-551239,13,2026-09-22T09:48:49.075698+08:00,0,0.69,0.31,0.37,jev-1.13.0,1105.64,310,31
14,random-bits-20260922-094842-551239,14,2026-09-22T09:48:50.181618+08:00,0,0.7,0.3,0.4,jev-1.13.0,365.0,310,31
